external_course_key,course_id,course_name
2163-09025,2016-SPRI-VANCO-POL_S-103-9025-LEC,2016-SPRI-VANCO-POL_S-103-9025-LEC
2163-04195,2016-SPRI-PULLM-POL_S-103-4195-LEC,2016-SPRI-PULLM-POL_S-103-4195-LEC
2163-04196,2016-SPRI-PULLM-POL_S-103-4196-LEC,2016-SPRI-PULLM-POL_S-103-4196-LEC
2163-04197,2016-SPRI-PULLM-POL_S-103-4197-LEC,2016-SPRI-PULLM-POL_S-103-4197-LEC
2163-07382,2016-SPRI-ONLIN-POL_S-103-7382-LEC,2016-SPRI-ONLIN-POL_S-103-7382-LEC
2163-04199,2016-SPRI-PULLM-POL_S-300-4199-LEC,2016-SPRI-PULLM-POL_S-300-4199-LEC
2163-06846,2016-SPRI-VANCO-POL_S-600-6846-IND,2016-SPRI-VANCO-POL_S-600-6846-IND
2163-04212,2016-SPRI-PULLM-POL_S-600-4212-IND,2016-SPRI-PULLM-POL_S-600-4212-IND
2163-09916,2016-SPRI-PULLM-SOC-101-9916-LEC,2016-SPRI-PULLM-SOC-101-9916-LEC
2163-04228,2016-SPRI-PULLM-SOC-101-4228-LEC,2016-SPRI-PULLM-SOC-101-4228-LEC
2163-04227,2016-SPRI-PULLM-SOC-101-4227-LEC,2016-SPRI-PULLM-SOC-101-4227-LEC
2163-04223,2016-SPRI-PULLM-SOC-101-4223-LEC,2016-SPRI-PULLM-SOC-101-4223-LEC
2163-04226,2016-SPRI-PULLM-SOC-101-4226-LEC,2016-SPRI-PULLM-SOC-101-4226-LEC
2163-04222,2016-SPRI-PULLM-SOC-101-4222-LEC,2016-SPRI-PULLM-SOC-101-4222-LEC
2163-04224,2016-SPRI-PULLM-SOC-101-4224-LEC,2016-SPRI-PULLM-SOC-101-4224-LEC
2163-04225,2016-SPRI-PULLM-SOC-101-4225-LEC,2016-SPRI-PULLM-SOC-101-4225-LEC
2163-04221,2016-SPRI-PULLM-SOC-101-4221-LEC,2016-SPRI-PULLM-SOC-101-4221-LEC
2163-04220,2016-SPRI-PULLM-SOC-101-4220-LEC,2016-SPRI-PULLM-SOC-101-4220-LEC
2163-04219,2016-SPRI-PULLM-SOC-101-4219-LEC,2016-SPRI-PULLM-SOC-101-4219-LEC
2163-04216,2016-SPRI-PULLM-SOC-101-4216-LEC,2016-SPRI-PULLM-SOC-101-4216-LEC
2163-04215,2016-SPRI-PULLM-SOC-101-4215-LEC,2016-SPRI-PULLM-SOC-101-4215-LEC
